name,rate,location,cuisines,cost_for_two,type
Lord Of The Kitchen,3.9,Kumaraswamy Layout,"North Indian, Chinese",350,Delivery
Stoned Monkey,4.3,Banashankari,"Desserts, Ice Cream",500,Delivery
Central Jail Restaurant,3.8,Jayanagar,"Andhra, Seafood, North Indian, Chinese",700,Delivery
Bella,3.9,Jayanagar,"Mangalorean, Seafood, South Indian",1000,Delivery
Vennela Andhra Meals,3,Jayanagar,Andhra,400,Delivery
New Prashanth Hotel,3.6,Jayanagar,"South Indian, Biryani, Chinese, North Indian",750,Delivery
The Grillo,2.8,Jayanagar,"South Indian, Arabian, Chinese, North Indian, Seafood, Mangalorean",500,Delivery
Re Malnad Nati Style Hotel,3.6,JP Nagar,South Indian,400,Delivery
Karma Kaapi,4.4,Jayanagar,"Beverages, Tea",250,Delivery
Tiwari's,3.8,Jayanagar,"North Indian, Street Food",200,Delivery
Pizza Stop,3.8,Basavanagudi,"Pizza, Italian",600,Delivery
Biggies Burger 'n' More,3.6,Kumaraswamy Layout,"Cafe, Burger, Beverages",650,Delivery
Srinathji's Cafe,3.8,Basavanagudi,"North Indian, Cafe, Chinese, Fast Food",550,Delivery
Kollapuri's,3.9,Basavanagudi,"South Indian, Mangalorean",450,Delivery
Sugar Stars Co,3.7,Basavanagudi,"Bakery, Desserts",300,Delivery
Bombay Kulfis,3.7,JP Nagar,Ice Cream,200,Delivery
RS Shiv Sagar,3.7,Basavanagudi,"North Indian, Chinese, South Indian, Fast Food, Juices",450,Delivery
Kholi Mane,3.6,Basavanagudi,"Andhra, South Indian, Biryani, North Indian",450,Delivery
Harshi Super Sandwich,3.8,Basavanagudi,"Fast Food, Street Food",150,Delivery
Cake Yard,3.4,Basavanagudi,Desserts,250,Delivery
Sri Udupi Veg,3.3,Jayanagar,South Indian,250,Delivery
Cake Art,3.5,Basavanagudi,Bakery,400,Delivery
Aahar Cafe,3.7,Basavanagudi,South Indian,100,Delivery
New Sri Udupi Restaurant,3.7,Jayanagar,"North Indian, South Indian, Chinese, Beverages, Fast Food",200,Delivery
Ugadi,2.9,Jayanagar,"North Indian, Chinese, Biryani, Andhra, Mangalorean",700,Delivery
Sri Krishna Sweets,3.7,Basavanagudi,"Mithai, Desserts",250,Delivery
In Time Cane Juice,3.5,Kumaraswamy Layout,"Juices, Beverages",100,Delivery
Subway,3.7,Banashankari,"Salad, Fast Food",600,Delivery
